tf,es,lens,pvals,z,qvals
ATF6,0.537956389276346,16,0.101,1.05952666499095,0.700266666666667
NFE2L2,0.508453196501761,21,0.1047,1.11243652690948,0.710139130434783
E2F2,0.382264580958656,189,0.1093,1.24501184727552,0.7176
USF2,0.41006624562407,90,0.1118,1.24714024455683,0.7176
TSG101,0.571523262179528,11,0.1127,0.903406715178798,0.7176
BRCA1,0.418829360123289,69,0.1247,1.15377986154893,0.750501818181818
TFDP1,0.519890771334618,17,0.1256,0.996988915798341,0.750501818181818
HMGA1,0.519205205288062,17,0.1257,0.980044135845464,0.750501818181818
AHR,0.490943801437579,23,0.1292,1.04368180098293,0.750501818181818
CLOCK,0.493847216696412,22,0.1314,1.05072704989395,0.750501818181818
IKBKG,0.453426692578782,36,0.1323,1.09669886317146,0.750501818181818
SOX17,0.569392132640194,10,0.1357,0.802408789378611,0.756042857142857
FOXM1,0.504738151218131,18,0.1475,0.946050466926246,0.77736338028169
FOXO3,0.490896659708349,21,0.1481,0.966441665590112,0.77736338028169
PER3,0.52184288360747,15,0.1535,0.856579103861224,0.77736338028169
MSC,0.549250310585807,11,0.1547,0.769536518416386,0.77736338028169
MTA1,0.477744765692705,24,0.1552,0.966964309395881,0.77736338028169
NOTCH2,0.47112013126221,26,0.1573,0.952184479140926,0.77736338028169
NOTCH4,0.47112013126221,26,0.1573,0.952184479140926,0.77736338028169
NF1,0.521593656391895,14,0.168,0.768403236712541,0.77736338028169
GATA4,0.471978282355992,24,0.1683,0.902675460834098,0.77736338028169
EIF2AK2,0.534805588716839,12,0.169,0.751312014185582,0.77736338028169
PGR,0.414092912649891,62,0.1698,0.953022526590942,0.77736338028169
PARP1,0.459792280201581,28,0.1702,0.931564630072542,0.77736338028169
RXRB,0.420430611286741,54,0.1766,0.935040520596393,0.77736338028169
RXRG,0.420430611286741,54,0.1766,0.935040520596393,0.77736338028169
REST,0.444349898855922,35,0.1769,0.927103868177099,0.77736338028169
XBP1,0.478020485315711,20,0.1974,0.783767365921867,0.814827906976744
ATF1,0.391896621389922,92,0.1985,0.853603014983749,0.814827906976744
EGR1,0.376234429994432,145,0.2,0.828805054660385,0.814827906976744
TCF3,0.514003255701999,13,0.2037,0.679080454182337,0.814827906976744
HIC1,0.537912569450279,10,0.206,0.639370233900881,0.814827906976744
HDAC1,0.394751711155492,83,0.207,0.80875511788736,0.814827906976744
ERCC2,0.558269535660261,8,0.2104,0.619444165214729,0.814827906976744
RXRA,0.399860321583111,72,0.2116,0.796330801865367,0.814827906976744
CEBPB,0.385794917613708,104,0.2132,0.802085320308991,0.814827906976744
E2F3,0.452742234976112,26,0.2153,0.760310561879475,0.814827906976744
PPARD,0.420140781564114,46,0.2187,0.792700668285675,0.814827906976744
