,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI,idxAccuracy,idxAvgDist,idxBoth,idxFlexibility,idxTrio
0.1-60-0.4,0.1,60,0.4,112,445,277,1,0.169386002576213,25.7595720720721,FALSE,0.1-60-0.4,0.1438,0.7528,0.8966,0.31836653125546,-0.185890931369146,0.424083985332271,0.00760298915714419,0.0142832041611814,0.1535,0.15657789705884,0.000174533561595311,208,192,400,518,918
0.12-40-0.75,0.12,40,0.75,69,251,150,1,0.188555347091932,15.1771099744246,FALSE,0.12-40-0.75,0.1789,0.7175,0.8964,0.258075166099139,-0.192192471001737,0.36973889208537,0.00780366713928708,0.0215661543175729,0.0872,0.0556721132650875,0.000284499001936455,209,237,446,244,690
0.06-60-0.7,0.06,60,0.7,104,423,264,1,0.176093155893536,24.1180918595967,FALSE,0.06-60-0.7,0.144,0.7524,0.8964,0.318038166483384,-0.185949333285276,0.423458754753153,0.00713023468352605,0.0153378316803612,0.1535,0.091401801433132,0.000284499001936455,210,93,303,471,774
0.12-32-0.8,0.12,32,0.8,45,153,85,1,0.249249249249249,9.4510101010101,FALSE,0.12-32-0.8,0.2292,0.667,0.8962,0.186478868045784,-0.189441393216422,0.295035862422901,0.00833254183233348,0.0290374485789482,0.0539,0.0264514862575436,0.000362295738952264,211,318,529,111,640
0.16-52-0.25,0.16,52,0.25,97,383,232,1,0.176733780760626,17.5538015463918,FALSE,0.16-52-0.25,0.1603,0.7359,0.8962,0.288930842634675,-0.189808193026985,0.397854636822355,0.00728742146969628,0.0137244216148566,0.1257,0.15657789705884,0.000178864468952335,212,118,330,537,867
0.1-52-0.75,0.1,52,0.75,87,363,220,1,0.190164866401364,15.2810745789896,FALSE,0.1-52-0.75,0.1633,0.7326,0.8959,0.283864010057623,-0.190332537329373,0.392777945499889,0.00777875259780353,0.0175190868354656,0.1257,0.111941181489358,0.000208702136538085,213,229,442,378,820
0.09-48-0.8,0.09,48,0.8,62,254,148,1,0.213971665852467,11.3172924378636,FALSE,0.09-48-0.8,0.2013,0.694,0.8953,0.224498103650617,-0.192509587598103,0.334518092086838,0.00830507346685043,0.0191011401498713,0.1118,0.0850422872908485,0.000284499001936455,214,315,529,331,860
0.12-40-0.7,0.12,40,0.7,72,259,156,1,0.181537102473498,17.1140453834116,FALSE,0.12-40-0.7,0.1789,0.7163,0.8952,0.258397480022847,-0.192192471001737,0.367921517494746,0.00769781971017964,0.019721523678024,0.0872,0.0556721132650875,0.000284499001936455,215,211,426,307,733
0.08-60-0.6,0.08,60,0.6,113,451,275,1,0.169799092676604,25.8081542351454,FALSE,0.08-60-0.6,0.1466,0.748,0.8946,0.313655299205911,-0.186683419587025,0.416595278415899,0.00727820545051284,0.0148374331929393,0.1535,0.126457649962728,0.000196856314758355,216,115,331,490,821
0.08-60-0.4,0.08,60,0.4,117,461,282,1,0.16524631053835,27.5877541998232,FALSE,0.08-60-0.4,0.1432,0.7514,0.8946,0.319925994201328,-0.185714055084773,0.421896608909064,0.00743154063869725,0.0145830373148527,0.1535,0.126457649962728,0.000182437435460431,217,157,374,506,880
0.1-28-0.65,0.1,28,0.65,54,165,92,1,0.226759339704605,18.9182389937107,FALSE,0.1-28-0.65,0.227,0.6673,0.8943,0.189938427600539,-0.18981242792268,0.295468629667251,0.0079241490389823,0.0219390316079373,0.0384,0.0195625049071276,0.000411611379878998,218,267,485,236,721
0.06-52-0.75,0.06,52,0.75,84,329,201,1,0.18921568627451,13.6653757888698,FALSE,0.06-52-0.75,0.164,0.7303,0.8943,0.283083741433509,-0.190446916542193,0.389248432119735,0.00709107918950328,0.0159390176581359,0.1257,0.0556721132650875,0.000316202811251682,219,87,306,444,750
0.09-60-0.5,0.09,60,0.5,111,449,279,1,0.170089858793325,24.0321867321867,FALSE,0.09-60-0.5,0.1506,0.7436,0.8942,0.306496674647851,-0.187723020282908,0.409757684580852,0.00779116563595338,0.0145979218034665,0.1535,0.13184159089675,0.000178864468952335,220,233,453,505,958
0.09-52-0.85,0.09,52,0.85,46,202,115,1,0.263935527199463,9.96570048309179,FALSE,0.09-52-0.85,0.1787,0.7154,0.8941,0.259024196068505,-0.192177498941047,0.366559805647731,0.00898998647050252,0.0282466506220149,0.1256,0.111941181489358,0.000220801774389674,221,370,591,117,708
0.12-52-0.7,0.12,52,0.7,91,382,235,1,0.183235369281881,15.3119658119658,FALSE,0.12-52-0.7,0.1524,0.7415,0.8939,0.303349379654048,-0.188156007350612,0.406503456421934,0.00745378932189499,0.0157739477800804,0.1257,0.123879958040442,0.000182257366699575,223,164,387,459,846
