,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,AvgDist.mean,AvgDist.sd
0.12-40-0.7,0.12,40,0.7,72,259,156,1,0.181537102473498,17.1140453834116,FALSE,0.12-40-0.7,0.0076190442679376,8.4910811560426e-05
0.18-40-0.7,0.18,40,0.7,72,266,154,1,0.179277730008598,15.4035602503912,FALSE,0.18-40-0.7,0.00742152293421245,7.27174162292779e-05
0.05-56-0.8,0.05,56,0.8,72,288,175,1,0.204843191742755,11.5005868544601,FALSE,0.05-56-0.8,0.00856480798674384,0.00018658399878634
0.07-56-0.8,0.07,56,0.8,72,305,180,1,0.209226298583364,12.5027386541471,FALSE,0.07-56-0.8,0.00811335631553732,0.000188530338552796
0.05-40-0.6,0.05,40,0.6,73,231,137,1,0.180066079295154,24.5494672754947,FALSE,0.05-40-0.6,0.0078975375507089,8.32315370518208e-05
0.09-40-0.65,0.09,40,0.65,73,241,144,1,0.189969604863222,20.0454718417047,FALSE,0.09-40-0.65,0.0077823895621805,8.44648080087888e-05
0.14-56-0.8,0.14,56,0.8,73,322,194,1,0.21599203715992,11.3907914764079,FALSE,0.14-56-0.8,0.0088610942059406,0.000178972011722205
0.06-60-0.8,0.06,60,0.8,73,325,197,1,0.209892613081679,11.4963850837139,FALSE,0.06-60-0.8,0.0078160502002693,0.000165457420493997
0.1-56-0.8,0.1,56,0.8,73,326,199,1,0.210759493670886,10.4069634703196,FALSE,0.1-56-0.8,0.00902313846655074,0.000165573613599391
0.05-40-0.55,0.05,40,0.55,74,232,138,1,0.178590933915893,25.5092558311736,FALSE,0.05-40-0.55,0.00751562610727294,8.84144412843368e-05
0.06-40-0.3,0.06,40,0.3,74,237,141,1,0.182154171066526,23.2223250647908,FALSE,0.06-40-0.3,0.00770802846018764,6.56836331869865e-05
0.14-40-0.7,0.14,40,0.7,74,273,160,1,0.176617954070981,16.0979266938171,FALSE,0.14-40-0.7,0.00722881703503713,0.000132353840377778
0.2-56-0.8,0.2,56,0.8,74,330,202,1,0.209457315138051,9.64476119955572,FALSE,0.2-56-0.8,0.00898877584673488,0.000183459857988052
0.08-56-0.8,0.08,56,0.8,74,331,202,1,0.210149439601494,13.238430211033,FALSE,0.08-56-0.8,0.00899403523640079,0.000114992268241877
0.05-40-0,0.05,40,0,75,233,138,1,0.175335120643432,26.46,FALSE,0.05-40-0,0.00745599719069077,0.000102899117062736
0.08-40-0.6,0.08,40,0.6,75,247,143,1,0.187314172447968,19.1996396396396,FALSE,0.08-40-0.6,0.00684753740586415,5.85201624764373e-05
0.09-60-0.8,0.09,60,0.8,75,333,204,1,0.206261510128913,11.3718918918919,FALSE,0.09-60-0.8,0.00908796777531604,0.000143390174402473
0.12-56-0.8,0.12,56,0.8,75,338,205,1,0.207839562443026,10.5212612612613,FALSE,0.12-56-0.8,0.00848016374400648,0.000170273187911957
0.1-40-0.2,0.1,40,0.2,76,246,149,1,0.186298669295219,21.0947368421053,FALSE,0.1-40-0.2,0.0080727448347193,7.75694248105739e-05
0.07-40-0,0.07,40,0,76,248,148,1,0.181188118811881,19.4189473684211,FALSE,0.07-40-0,0.00729960993026811,4.90130315413374e-05
0.05-44-0.7,0.05,44,0.7,76,257,152,1,0.184869739478958,20.1668421052632,FALSE,0.05-44-0.7,0.0071577218876354,0.000131979166020562
0.08-44-0.75,0.08,44,0.75,76,260,149,1,0.1978928080623,19.1149122807018,FALSE,0.08-44-0.75,0.00686282692139501,0.00015104483004005
0.07-44-0.75,0.07,44,0.75,76,264,151,1,0.198033707865169,14.6556140350877,FALSE,0.07-44-0.75,0.00657847119819731,2.04608573871708e-05
0.06-44-0.75,0.06,44,0.75,76,268,160,1,0.197588126159555,14.6229824561404,FALSE,0.06-44-0.75,0.00729314528394609,0.00018491104745559
0.1-60-0.8,0.1,60,0.8,76,335,206,1,0.204278397107563,11.3919298245614,FALSE,0.1-60-0.8,0.00894101556821808,1.91937380203004e-05
0.08-40-0.5,0.08,40,0.5,77,252,148,1,0.183526011560694,20.154989747095,FALSE,0.08-40-0.5,0.00697797919887761,0.000117424926316227
0.05-48-0.75,0.05,48,0.75,77,267,161,1,0.182857142857143,17.4212235133288,FALSE,0.05-48-0.75,0.00783999534356254,0.000164042805794613
0.12-40-0.65,0.12,40,0.65,77,269,166,1,0.173967459324155,19.1148325358852,FALSE,0.12-40-0.65,0.00788377895834462,0.00013985912626867
0.09-44-0.75,0.09,44,0.75,77,301,173,1,0.193186072631973,14.3737183868763,FALSE,0.09-44-0.75,0.00664527685649932,7.09337907092063e-05
0.12-60-0.8,0.12,60,0.8,77,345,209,1,0.205491585473871,10.5681818181818,FALSE,0.12-60-0.8,0.00870749675293777,6.17023830653001e-05
0.08-40-0.3,0.08,40,0.3,78,253,149,1,0.181083650190114,21.1143856143856,FALSE,0.08-40-0.3,0.0071658213990296,0.000148413253034992
0.16-40-0.65,0.16,40,0.65,78,280,164,1,0.170441001191895,17.4149184149184,FALSE,0.16-40-0.65,0.00686541047844381,9.09553177351613e-05
0.1-44-0.75,0.1,44,0.75,78,300,174,1,0.19304152637486,15.3488178488178,FALSE,0.1-44-0.75,0.0067043092395116,0.000122979966458068
0.16-44-0.75,0.16,44,0.75,78,308,183,1,0.188040345821326,12.5780885780886,FALSE,0.16-44-0.75,0.00689829290581487,7.16905590346873e-05
0.12-40-0,0.12,40,0,79,272,168,1,0.169650122050448,20.8377150275884,FALSE,0.12-40-0,0.00771936482875416,0.000111305217775205
0.06-48-0.75,0.06,48,0.75,79,276,165,1,0.189153439153439,14.6741317753976,FALSE,0.06-48-0.75,0.00713652275474123,0.000100783219792113
0.18-40-0.65,0.18,40,0.65,79,281,164,1,0.16877971473851,17.440441415125,FALSE,0.18-40-0.65,0.00697949559829413,0.000122550667009073
0.08-60-0.8,0.08,60,0.8,79,344,210,1,0.202296819787986,15.0876338851022,FALSE,0.08-60-0.8,0.00960600510702605,5.62168562815923e-05
0.08-44-0.7,0.08,44,0.7,80,272,156,1,0.187340696686491,21.0912974683544,FALSE,0.08-44-0.7,0.00662763620975359,6.94039165937283e-05
0.06-44-0.7,0.06,44,0.7,80,278,165,1,0.189647857445906,17.539082278481,FALSE,0.06-44-0.7,0.0072229215688476,0.000179034802759673
0.18-40-0,0.18,40,0,80,282,165,1,0.166797180892717,18.4096518987342,FALSE,0.18-40-0,0.00720857109928897,7.71365998342924e-05
0.14-44-0.75,0.14,44,0.75,80,313,186,1,0.188504105676544,13.4599683544304,FALSE,0.14-44-0.75,0.0073707996894813,0.000125179270933014
0.2-44-0.7,0.2,44,0.7,80,313,188,1,0.182814104758644,15.4599683544304,FALSE,0.2-44-0.7,0.00704288838929301,0.000154743432543045
0.05-44-0.6,0.05,44,0.6,81,264,159,1,0.174320524835989,24.041975308642,FALSE,0.05-44-0.6,0.00738107691231124,0.000205066162521497
0.07-44-0.7,0.07,44,0.7,81,276,162,1,0.187823834196891,18.5200617283951,FALSE,0.07-44-0.7,0.00694024912207923,0.00013625499783705
0.07-48-0.75,0.07,48,0.75,81,277,160,1,0.188461538461538,16.6524691358025,FALSE,0.07-48-0.75,0.00663425508608852,0.00017283168002845
0.1-44-0.7,0.1,44,0.7,81,309,181,1,0.186434659090909,16.350462962963,FALSE,0.1-44-0.7,0.00670006537125379,8.53977861659951e-05
0.18-44-0.7,0.18,44,0.7,81,316,190,1,0.183694530443756,15.4975308641975,FALSE,0.18-44-0.7,0.00718419914780125,0.000158901272590338
0.09-48-0.75,0.09,48,0.75,81,317,186,1,0.185794261721484,16.1865740740741,FALSE,0.09-48-0.75,0.00720372164589058,0.000103097461398531
0.18-60-0.8,0.18,60,0.8,81,362,220,1,0.205395996518712,10.733950617284,FALSE,0.18-60-0.8,0.00846442124727345,9.14664121664695e-05
0.2-60-0.8,0.2,60,0.8,81,366,224,1,0.203214695752009,9.77283950617284,FALSE,0.2-60-0.8,0.00850594157433885,0.000153957102050449
0.05-44-0.55,0.05,44,0.55,82,265,160,1,0.173103769194974,25.0117434507678,FALSE,0.05-44-0.55,0.00699501704653029,6.80547126708792e-05
0.2-48-0.75,0.2,48,0.75,82,336,207,1,0.183227848101266,14.5126467931346,FALSE,0.2-48-0.75,0.00725275945020675,8.55115003233319e-05
0.16-60-0.8,0.16,60,0.8,82,357,212,1,0.206990057246158,11.7285456187895,FALSE,0.16-60-0.8,0.00790333612541545,0.000201085873860533
0.05-44-0,0.05,44,0,83,266,160,1,0.17032967032967,25.9729650308551,FALSE,0.05-44-0,0.00704580188017052,4.85954823991389e-05
0.1-48-0.75,0.1,48,0.75,83,318,187,1,0.18397212543554,16.2449309432853,FALSE,0.1-48-0.75,0.00740288080133497,9.16441319111983e-05
0.16-44-0.7,0.16,44,0.7,83,323,194,1,0.179461615154536,14.5592124595945,FALSE,0.16-44-0.7,0.0070226683716638,7.42175393397957e-05
0.08-44-0.65,0.08,44,0.65,84,279,162,1,0.183196721311475,23.0738668961561,FALSE,0.08-44-0.65,0.00644304935775118,4.04042976907087e-05
0.06-44-0.65,0.06,44,0.65,84,284,170,1,0.185185185185185,20.486230636833,FALSE,0.06-44-0.65,0.00707168679172308,8.06150827384444e-05
0.06-48-0.7,0.06,48,0.7,84,290,173,1,0.179928028788485,17.6200516351119,FALSE,0.06-48-0.7,0.00697786128470014,5.1893116590794e-05
0.05-52-0.75,0.05,52,0.75,84,313,192,1,0.191096634093377,16.5856282271945,FALSE,0.05-52-0.75,0.0074490536368388,6.11856490888219e-05
0.14-44-0.7,0.14,44,0.7,84,326,196,1,0.180843938379102,16.2251864601262,FALSE,0.14-44-0.7,0.00726919221941447,0.000155185180343694
0.06-52-0.75,0.06,52,0.75,84,329,201,1,0.18921568627451,13.6653757888698,FALSE,0.06-52-0.75,0.00710778735413914,0.000107147283375195
0.14-48-0.75,0.14,48,0.75,84,335,203,1,0.181644359464627,12.5513482501434,FALSE,0.14-48-0.75,0.00746733609396885,9.55860724950615e-05
0.07-44-0.6,0.07,44,0.6,85,283,168,1,0.183520599250936,20.5060224089636,FALSE,0.07-44-0.6,0.00683017585898144,9.47511850086639e-05
0.06-44-0.55,0.06,44,0.55,85,286,172,1,0.183178325919935,20.4939775910364,FALSE,0.06-44-0.55,0.00694615470137619,5.45469544489289e-05
0.08-44-0.6,0.08,44,0.6,85,287,167,1,0.182293762575453,20.3109243697479,FALSE,0.08-44-0.6,0.0065178946398304,9.81254190278367e-05
0.18-48-0.7,0.18,48,0.7,85,337,205,1,0.17962962962963,15.5352941176471,FALSE,0.18-48-0.7,0.00746074889631763,0.000163474666284974
0.2-48-0.7,0.2,48,0.7,85,343,211,1,0.178343949044586,16.4724089635854,FALSE,0.2-48-0.7,0.00752876306524786,0.000114632803356675
0.07-44-0,0.07,44,0,86,284,169,1,0.181257706535142,21.4757865937073,FALSE,0.07-44-0,0.00684979809678627,4.41866904057884e-05
0.1-48-0.7,0.1,48,0.7,86,327,194,1,0.177991382167716,17.2366621067031,FALSE,0.1-48-0.7,0.00715511035256675,3.59758745535889e-05
0.16-48-0.7,0.16,48,0.7,86,341,208,1,0.17711503347535,14.5823529411765,FALSE,0.16-48-0.7,0.00751738970024448,0.000100953560771022
0.18-52-0.75,0.18,52,0.75,86,365,221,1,0.192539769610532,13.593023255814,FALSE,0.18-52-0.75,0.00770764833707754,0.000138978848923664
0.05-48-0.55,0.05,48,0.55,87,285,172,1,0.166939443535188,25.1607858861267,FALSE,0.05-48-0.55,0.00703000824327082,9.77616161170193e-05
0.06-44-0.3,0.06,44,0.3,87,289,175,1,0.180119284294235,22.4375835338145,FALSE,0.06-44-0.3,0.00723538805181635,6.66768525909259e-05
0.08-44-0.5,0.08,44,0.5,87,292,172,1,0.179034157832744,21.2658380112269,FALSE,0.08-44-0.5,0.00672105633862892,7.85849547036876e-05
0.09-48-0.7,0.09,48,0.7,87,332,196,1,0.177219321148825,19.1232290831329,FALSE,0.09-48-0.7,0.00675562531673263,0.000117522292451237
0.07-52-0.75,0.07,52,0.75,87,349,203,1,0.189975990396158,15.5956963378776,FALSE,0.07-52-0.75,0.00630426143799555,4.07798152506635e-05
0.1-52-0.75,0.1,52,0.75,87,363,220,1,0.190164866401364,15.2810745789896,FALSE,0.1-52-0.75,0.00784041287486077,0.000130836114183765
0.2-52-0.75,0.2,52,0.75,87,367,222,1,0.189986468200271,14.5541299117883,FALSE,0.2-52-0.75,0.00757574789752202,8.58573218453133e-05
0.05-48-0,0.05,48,0,88,286,172,1,0.164383561643836,26.1225182863114,FALSE,0.05-48-0,0.00682883270065847,9.3555510270531e-05
0.06-48-0.65,0.06,48,0.65,88,296,178,1,0.175854037267081,20.5662225705329,FALSE,0.06-48-0.65,0.0068588988596284,5.55444267058982e-05
0.12-44-0.65,0.12,44,0.65,88,326,193,1,0.170056685561854,17.2667189132706,FALSE,0.12-44-0.65,0.00698850061895851,4.97372044389525e-05
0.18-44-0.65,0.18,44,0.65,88,331,200,1,0.173704414587332,17.5231191222571,FALSE,0.18-44-0.65,0.00674829477208722,6.51952358339104e-05
0.14-48-0.7,0.14,48,0.7,88,348,213,1,0.174827275458096,15.3335945663532,FALSE,0.14-48-0.7,0.00749413638221152,0.000189101914417528
0.16-52-0.75,0.16,52,0.75,88,361,217,1,0.18940433708482,12.6584378265413,FALSE,0.16-52-0.75,0.00775444756685507,0.000159233019896105
0.09-52-0.75,0.09,52,0.75,88,369,223,1,0.188494833845295,16.2268808777429,FALSE,0.09-52-0.75,0.00787879933323812,0.000118032588603803
0.18-56-0.75,0.18,56,0.75,88,372,226,1,0.189490445859873,14.5675287356322,FALSE,0.18-56-0.75,0.00798840126195754,0.000102285374358078
0.12-52-0.75,0.12,52,0.75,88,372,227,1,0.189710610932476,14.3271943573668,FALSE,0.12-52-0.75,0.00756275581220748,7.55619518722217e-05
0.06-48-0.55,0.06,48,0.55,89,298,180,1,0.174045801526718,20.5726506639428,FALSE,0.06-48-0.55,0.00696295841037882,7.45698817392587e-05
0.05-52-0.7,0.05,52,0.7,89,327,198,1,0.183981233243968,19.5414964249234,FALSE,0.05-52-0.7,0.0067609808024356,4.02042719957006e-05
0.12-44-0.4,0.12,44,0.4,89,328,194,1,0.168150346191889,18.0967824310521,FALSE,0.12-44-0.4,0.00681063554563423,9.00706960626423e-05
0.09-44-0.45,0.09,44,0.45,89,334,198,1,0.176182707993475,18.3868743615935,FALSE,0.09-44-0.45,0.00679872064322617,0.00010697386424118
0.14-52-0.75,0.14,52,0.75,89,365,218,1,0.187550744248985,13.520684371808,FALSE,0.14-52-0.75,0.00755104495516069,0.000187803241412277
0.07-48-0.65,0.07,48,0.65,90,298,178,1,0.175519630484988,22.516354556804,FALSE,0.07-48-0.65,0.0068308120160055,0.000111297468877755
0.06-56-0.75,0.06,56,0.75,90,370,224,1,0.183244606332306,15.4661672908864,FALSE,0.06-56-0.75,0.00716463743960635,7.01672166452069e-05
0.1-52-0.7,0.1,52,0.7,90,373,228,1,0.183540877097997,16.2674157303371,FALSE,0.1-52-0.7,0.00764319969720773,0.00017607024679297
0.09-56-0.75,0.09,56,0.75,90,386,236,1,0.192327497425335,16.2287141073658,FALSE,0.09-56-0.75,0.00819617150296445,0.000117052911034196
0.07-48-0.6,0.07,48,0.6,91,300,180,1,0.17366628830874,22.5230769230769,FALSE,0.07-48-0.6,0.00707581852822418,0.000156414344440476
0.06-52-0.7,0.06,52,0.7,91,346,211,1,0.179856115107914,17.6112332112332,FALSE,0.06-52-0.7,0.00664098828963441,0.000113556781040814
0.16-48-0.65,0.16,48,0.65,91,351,215,1,0.171980111143609,16.5794871794872,FALSE,0.16-48-0.65,0.0072559503820123,0.000115767712668557
0.16-52-0.7,0.16,52,0.7,91,371,223,1,0.183259682869769,14.6039072039072,FALSE,0.16-52-0.7,0.00751993936930227,0.000136578706502384
0.2-52-0.7,0.2,52,0.7,91,375,227,1,0.185108044780005,17.4980463980464,FALSE,0.2-52-0.7,0.0079157181676656,0.00014105654878537
0.12-52-0.7,0.12,52,0.7,91,382,235,1,0.183235369281881,15.3119658119658,FALSE,0.12-52-0.7,0.00743238083676688,7.09987115713622e-05
0.1-56-0.75,0.1,56,0.75,91,385,235,1,0.18960244648318,15.3064713064713,FALSE,0.1-56-0.75,0.0083117681174528,8.39550865107262e-05
0.07-48-0,0.07,48,0,92,301,181,1,0.171652954375467,23.4946249402771,FALSE,0.07-48-0,0.00684635650875078,7.74362367166646e-05
0.12-48-0.65,0.12,48,0.65,92,350,215,1,0.168580060422961,17.3054228380315,FALSE,0.12-48-0.65,0.00721166001591913,6.88184358698441e-05
0.18-48-0.65,0.18,48,0.65,92,352,215,1,0.170464378425151,17.5561395126613,FALSE,0.18-48-0.65,0.0069703282896186,0.000122624422474394
0.16-48-0.25,0.16,48,0.25,92,352,216,1,0.170336037079954,17.5514811275681,FALSE,0.16-48-0.25,0.0073605861385637,7.43129303706778e-05
0.1-48-0.65,0.1,48,0.65,93,341,204,1,0.170808430324001,21.1085787751286,FALSE,0.1-48-0.65,0.00698217204182839,0.000102965169091289
0.18-48-0.3,0.18,48,0.3,93,353,216,1,0.168857142857143,18.528517999065,FALSE,0.18-48-0.3,0.00735208330290144,0.000203515345498857
0.14-48-0.65,0.14,48,0.65,93,358,220,1,0.169745958429561,17.3017765310893,FALSE,0.14-48-0.65,0.00727698402826082,5.78164585843388e-05
0.14-52-0.7,0.14,52,0.7,93,379,229,1,0.180750574419198,16.3024777933614,FALSE,0.14-52-0.7,0.0075389725135459,0.000197707084557699
0.18-52-0.7,0.18,52,0.7,93,381,230,1,0.18408215661104,17.5382187938289,FALSE,0.18-52-0.7,0.00779603413601421,9.33453377363203e-05
0.16-56-0.75,0.16,56,0.75,93,384,232,1,0.183720336820618,14.6367461430575,FALSE,0.16-56-0.75,0.00803342849185986,0.000165921059712419
0.09-52-0.7,0.09,52,0.7,93,384,234,1,0.180237154150198,18.2059373539037,FALSE,0.09-52-0.7,0.00749981464863785,7.28148207119856e-05
0.14-56-0.75,0.14,56,0.75,93,385,233,1,0.184697238408918,15.4582748948107,FALSE,0.14-56-0.75,0.00804459081722781,9.68917041648853e-05
0.08-56-0.75,0.08,56,0.75,93,393,239,1,0.187688442211055,18.1623422159888,FALSE,0.08-56-0.75,0.00749674246449305,8.97125319863819e-05
