feature_ratio,no_tfs,no_tfs_actual,method,CTRL,TRTMT,TRTMT_CTRL
0.12,16,16,MARINa,15,1,0.0666666666666667
0.12,16,16,RI,12,4,0.333333333333333
0.12,16,47,COMB,39,8,0.205128205128205
0.12,20,20,Netact,16,4,0.25
0.12,20,20,MARINa,17,3,0.176470588235294
0.12,20,20,RI,15,5,0.333333333333333
0.12,20,57,COMB,45,12,0.266666666666667
0.12,24,24,Netact,18,6,0.333333333333333
0.12,24,24,MARINa,19,5,0.263157894736842
0.12,24,24,RI,15,9,0.6
0.12,24,68,COMB,48,20,0.416666666666667
0.12,28,28,Netact,21,7,0.333333333333333
0.12,28,28,MARINa,23,5,0.217391304347826
0.12,28,28,RI,16,11,0.6875
0.12,28,79,COMB,56,22,0.392857142857143
0.12,32,32,Netact,24,8,0.333333333333333
0.12,32,32,MARINa,25,7,0.28
0.12,32,32,RI,18,12,0.666666666666667
0.12,32,87,COMB,59,26,0.440677966101695
0.12,36,36,Netact,25,10,0.4
0.12,36,36,MARINa,29,7,0.241379310344828
0.12,36,36,RI,20,14,0.7
0.12,36,97,COMB,65,29,0.446153846153846
0.12,40,40,Netact,28,11,0.392857142857143
0.12,40,40,MARINa,32,8,0.25
0.12,40,40,RI,22,15,0.681818181818182
0.12,40,107,COMB,72,32,0.444444444444444
0.12,44,44,Netact,31,12,0.387096774193548
0.12,44,44,MARINa,34,10,0.294117647058824
0.12,44,44,RI,23,17,0.739130434782609
0.12,44,119,COMB,78,37,0.474358974358974
0.12,48,48,Netact,35,12,0.342857142857143
0.12,48,48,MARINa,38,10,0.263157894736842
0.12,48,48,RI,27,17,0.62962962962963
0.12,48,124,COMB,83,37,0.44578313253012
0.12,52,52,Netact,38,13,0.342105263157895
0.12,52,52,MARINa,42,10,0.238095238095238
0.12,52,52,RI,27,21,0.777777777777778
0.12,52,131,COMB,87,40,0.459770114942529
0.12,56,56,Netact,40,14,0.35
0.12,56,56,MARINa,45,11,0.244444444444444
0.12,56,56,RI,29,23,0.793103448275862
0.12,56,139,COMB,91,43,0.472527472527473
0.12,60,60,Netact,43,15,0.348837209302326
0.12,60,60,MARINa,46,14,0.304347826086957
0.12,60,60,RI,32,24,0.75
0.12,60,146,COMB,96,45,0.46875
0.14,4,4,Netact,4,0,0
0.14,4,4,MARINa,4,0,0
0.14,4,4,RI,4,0,0
0.14,4,12,COMB,12,0,0
0.14,8,8,Netact,7,1,0.142857142857143
0.14,8,8,MARINa,7,1,0.142857142857143
0.14,8,8,RI,7,1,0.142857142857143
0.14,8,24,COMB,21,3,0.142857142857143
0.14,12,12,Netact,11,1,0.0909090909090909
0.14,12,12,MARINa,11,1,0.0909090909090909
0.14,12,12,RI,9,3,0.333333333333333
0.14,12,36,COMB,31,5,0.161290322580645
0.14,16,16,Netact,13,3,0.230769230769231
0.14,16,16,MARINa,14,2,0.142857142857143
0.14,16,16,RI,12,4,0.333333333333333
0.14,16,47,COMB,38,9,0.236842105263158
0.14,20,20,Netact,16,4,0.25
0.14,20,20,MARINa,17,3,0.176470588235294
0.14,20,20,RI,15,5,0.333333333333333
0.14,20,57,COMB,45,12,0.266666666666667
0.14,24,24,Netact,18,6,0.333333333333333
0.14,24,24,MARINa,19,5,0.263157894736842
0.14,24,24,RI,15,9,0.6
0.14,24,68,COMB,48,20,0.416666666666667
0.14,28,28,Netact,21,7,0.333333333333333
0.14,28,28,MARINa,22,6,0.272727272727273
0.14,28,28,RI,16,11,0.6875
0.14,28,79,COMB,55,23,0.418181818181818
0.14,32,32,Netact,24,8,0.333333333333333
0.14,32,32,MARINa,25,7,0.28
0.14,32,32,RI,18,12,0.666666666666667
0.14,32,87,COMB,59,26,0.440677966101695
0.14,36,36,Netact,25,10,0.4
0.14,36,36,MARINa,28,8,0.285714285714286
0.14,36,36,RI,20,14,0.7
0.14,36,97,COMB,64,30,0.46875
0.14,40,40,Netact,28,11,0.392857142857143
0.14,40,40,MARINa,30,10,0.333333333333333
0.14,40,40,RI,22,15,0.681818181818182
0.14,40,107,COMB,70,34,0.485714285714286
0.14,44,44,Netact,31,12,0.387096774193548
0.14,44,44,MARINa,34,10,0.294117647058824
0.14,44,44,RI,23,17,0.739130434782609
0.14,44,118,COMB,77,37,0.480519480519481
0.14,48,48,Netact,35,12,0.342857142857143
0.14,48,48,MARINa,38,10,0.263157894736842
0.14,48,48,RI,27,17,0.62962962962963
0.14,48,124,COMB,83,37,0.44578313253012
0.14,52,52,Netact,38,13,0.342105263157895
0.14,52,52,MARINa,41,11,0.268292682926829
0.14,52,52,RI,27,21,0.777777777777778
0.14,52,130,COMB,85,41,0.482352941176471
0.14,56,56,Netact,40,14,0.35
0.14,56,56,MARINa,43,13,0.302325581395349
0.14,56,56,RI,29,23,0.793103448275862
0.14,56,138,COMB,89,44,0.49438202247191
0.14,60,60,Netact,43,15,0.348837209302326
0.14,60,60,MARINa,43,17,0.395348837209302
0.14,60,60,RI,32,24,0.75
0.14,60,146,COMB,93,48,0.516129032258065
0.16,4,4,Netact,4,0,0
0.16,4,4,MARINa,4,0,0
0.16,4,4,RI,4,0,0
0.16,4,12,COMB,12,0,0
0.16,8,8,Netact,7,1,0.142857142857143
0.16,8,8,MARINa,7,1,0.142857142857143
0.16,8,8,RI,7,1,0.142857142857143
0.16,8,24,COMB,21,3,0.142857142857143
0.16,12,12,Netact,11,1,0.0909090909090909
0.16,12,12,MARINa,11,1,0.0909090909090909
0.16,12,12,RI,9,3,0.333333333333333
0.16,12,36,COMB,31,5,0.161290322580645
0.16,16,16,Netact,13,3,0.230769230769231
0.16,16,16,MARINa,14,2,0.142857142857143
0.16,16,16,RI,12,4,0.333333333333333
0.16,16,47,COMB,38,9,0.236842105263158
0.16,20,20,Netact,16,4,0.25
0.16,20,20,MARINa,16,4,0.25
0.16,20,20,RI,15,5,0.333333333333333
0.16,20,57,COMB,44,13,0.295454545454545
0.16,24,24,Netact,18,6,0.333333333333333
0.16,24,24,MARINa,19,5,0.263157894736842
0.16,24,24,RI,15,9,0.6
0.16,24,68,COMB,48,20,0.416666666666667
0.16,28,28,Netact,21,7,0.333333333333333
0.16,28,28,MARINa,22,6,0.272727272727273
0.16,28,28,RI,16,11,0.6875
0.16,28,78,COMB,54,23,0.425925925925926
0.16,32,32,Netact,24,8,0.333333333333333
0.16,32,32,MARINa,25,7,0.28
0.16,32,32,RI,18,12,0.666666666666667
0.16,32,87,COMB,59,26,0.440677966101695
0.16,36,36,Netact,25,10,0.4
0.16,36,36,MARINa,28,8,0.285714285714286
0.16,36,36,RI,20,14,0.7
0.16,36,97,COMB,64,30,0.46875
0.16,40,40,Netact,28,11,0.392857142857143
0.16,40,40,MARINa,30,10,0.333333333333333
0.16,40,40,RI,21,16,0.761904761904762
0.16,40,107,COMB,69,35,0.507246376811594
0.16,44,44,Netact,31,12,0.387096774193548
0.16,44,44,MARINa,34,10,0.294117647058824
0.16,44,44,RI,24,17,0.708333333333333
0.16,44,116,COMB,76,37,0.486842105263158
0.16,48,48,Netact,35,12,0.342857142857143
0.16,48,48,MARINa,38,10,0.263157894736842
0.16,48,48,RI,26,19,0.730769230769231
0.16,48,122,COMB,81,38,0.469135802469136
0.16,52,52,Netact,38,13,0.342105263157895
0.16,52,52,MARINa,41,11,0.268292682926829
0.16,52,52,RI,27,22,0.814814814814815
0.16,52,128,COMB,83,42,0.506024096385542
0.16,56,56,Netact,40,14,0.35
0.16,56,56,MARINa,42,14,0.333333333333333
0.16,56,56,RI,30,23,0.766666666666667
0.16,56,136,COMB,88,44,0.5
0.16,60,60,Netact,43,15,0.348837209302326
0.16,60,60,MARINa,43,17,0.395348837209302
0.16,60,60,RI,31,26,0.838709677419355
0.16,60,144,COMB,91,49,0.538461538461538
0.18,4,4,Netact,4,0,0
0.18,4,4,MARINa,4,0,0
0.18,4,4,RI,4,0,0
0.18,4,12,COMB,12,0,0
0.18,8,8,Netact,7,1,0.142857142857143
0.18,8,8,MARINa,7,1,0.142857142857143
0.18,8,8,RI,6,2,0.333333333333333
0.18,8,24,COMB,20,4,0.2
0.18,12,12,Netact,11,1,0.0909090909090909
0.18,12,12,MARINa,11,1,0.0909090909090909
0.18,12,12,RI,9,3,0.333333333333333
0.18,12,36,COMB,31,5,0.161290322580645
0.18,16,16,Netact,13,3,0.230769230769231
0.18,16,16,MARINa,14,2,0.142857142857143
