,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,Accuracy_sd,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI
0.07-56-0.4,0.07,56,0.40,105,403,240,1,0.168,21.43,FALSE,0.07-56-0.4,0.1772,0.7432,0.921,0.00310,0.258,-0.192, 4.09e-01,0.00638,0.0169,0.1357,0.08504,0.000229
0.09-44-0.8,0.09,44,0.80, 60,250,145,1,0.219, 9.43,FALSE,0.09-44-0.8,0.2036,0.6993,0.903,0.00482,0.219,-0.192, 3.42e-01,0.00796,0.0194,0.1000,0.05730,0.000284
0.05-56-0,0.05,56,0.00,104,360,221,1,0.166,25.52,FALSE,0.05-56-0,0.1716,0.7522,0.922,0.00279,0.267,-0.191, 4.23e-01,0.00639,0.0164,0.1292,0.04174,0.000316
0.05-60-0.2,0.05,60,0.20,111,413,252,1,0.167,28.13,FALSE,0.05-60-0.2,0.1704,0.7602,0.926,0.00315,0.270,-0.191, 4.36e-01,0.00642,0.0158,0.1535,0.05730,0.000316
0.2-36-0.8,0.20,36,0.80, 45,179,107,1,0.236,10.14,FALSE,0.2-36-0.8,0.2080,0.5995,0.816,0.00635,0.278,-0.192, 2.01e-01,0.00877,0.0401,0.0676,0.05567,0.000284
0.16-44-0.8,0.16,44,0.80, 60,255,154,1,0.223,10.42,FALSE,0.16-44-0.8,0.1809,0.7001,0.884,0.00456,0.260,-0.192, 3.44e-01,0.00800,0.0235,0.1000,0.09140,0.000221
0.06-40-0.55,0.06,40,0.55, 72,234,138,1,0.186,21.28,FALSE,0.06-40-0.55,0.1924,0.7228,0.921,0.00445,0.234,-0.193, 3.78e-01,0.00766,0.0174,0.0872,0.02645,0.000368
0.18-36-0.8,0.18,36,0.80, 47,185,111,1,0.231,11.12,FALSE,0.18-36-0.8,0.2030,0.6037,0.802,0.00681,0.285,-0.192, 2.07e-01,0.00914,0.0375,0.0676,0.05567,0.000284
0.05-60-0,0.05,60,0.00,112,414,252,1,0.166,29.10,FALSE,0.05-60-0,0.1689,0.7605,0.924,0.00272,0.273,-0.191, 4.36e-01,0.00644,0.0157,0.1535,0.05730,0.000316
0.2-28-0.8,0.20,28,0.80, 37,132, 76,1,0.272,10.73,FALSE,0.2-28-0.8,0.2289,0.6076,0.840,0.00875,0.224,-0.189, 2.12e-01,0.00879,0.0316,0.0384,0.02645,0.000362
0.14-44-0.75,0.14,44,0.75, 80,313,186,1,0.189,13.46,FALSE,0.14-44-0.75,0.1766,0.7258,0.899,0.00416,0.260,-0.192, 3.82e-01,0.00736,0.0193,0.1008,0.09140,0.000229
0.05-52-0.55,0.05,52,0.55, 95,336,207,1,0.175,23.47,FALSE,0.05-52-0.55,0.1756,0.7422,0.916,0.00300,0.261,-0.192, 4.08e-01,0.00669,0.0169,0.1257,0.03330,0.000341
0.16-24-0.8,0.16,24,0.80, 33,111, 64,1,0.309,10.55,FALSE,0.16-24-0.8,0.2176,0.5997,0.809,0.01069,0.256,-0.191, 2.01e-01,0.01063,0.0346,0.0251,0.01503,0.000529
0.1-52-0.65,0.10,52,0.65, 97,387,238,1,0.177,20.14,FALSE,0.1-52-0.65,0.1642,0.7458,0.910,0.00309,0.280,-0.190, 4.13e-01,0.00729,0.0177,0.1257,0.11194,0.000209
0.06-44-0.7,0.06,44,0.70, 80,278,165,1,0.190,17.54,FALSE,0.06-44-0.7,0.1801,0.7410,0.922,0.00268,0.253,-0.192, 4.06e-01,0.00720,0.0165,0.1008,0.02875,0.000341
0.09-40-0.8,0.09,40,0.80, 50,182,105,1,0.235, 9.35,FALSE,0.09-40-0.8,0.1950,0.6924,0.891,0.00640,0.236,-0.193, 3.32e-01,0.00893,0.0212,0.0869,0.03373,0.000316
0.06-48-0.75,0.06,48,0.75, 79,276,165,1,0.189,14.67,FALSE,0.06-48-0.75,0.1831,0.7357,0.922,0.00290,0.248,-0.192, 3.98e-01,0.00710,0.0167,0.1118,0.03373,0.000316
0.06-44-0.65,0.06,44,0.65, 84,284,170,1,0.185,20.49,FALSE,0.06-44-0.65,0.1827,0.7372,0.920,0.00304,0.249,-0.192, 4.00e-01,0.00709,0.0165,0.1008,0.02875,0.000341
0.07-28-0.85,0.07,28,0.85, 25, 85, 46,1,0.336, 7.78,FALSE,0.07-28-0.85,0.1970,0.6142,0.806,0.01127,0.288,-0.193, 2.21e-01,0.01148,0.0345,0.0307,0.00837,0.000623
0.06-44-0.75,0.06,44,0.75, 76,268,160,1,0.198,14.62,FALSE,0.06-44-0.75,0.1778,0.7419,0.918,0.00327,0.257,-0.192, 4.07e-01,0.00729,0.0166,0.1008,0.02860,0.000341
0.18-24-0.7,0.18,24,0.70, 44,133, 76,1,0.245,16.34,FALSE,0.18-24-0.7,0.2229,0.6324,0.862,0.00870,0.216,-0.190, 2.46e-01,0.00953,0.0286,0.0251,0.01956,0.000529
0.12-20-0.8,0.12,20,0.80, 24, 80, 53,1,0.316, 5.98,FALSE,0.12-20-0.8,0.2120,0.4083,0.606,0.01008,0.577,-0.192,-1.98e-02,0.01706,0.0671,0.0219,0.00973,0.000623
0.09-24-0.85,0.09,24,0.85, 22, 79, 46,1,0.357, 5.89,FALSE,0.09-24-0.85,0.1789,0.5336,0.697,0.01245,0.442,-0.192, 1.17e-01,0.01530,0.0386,0.0269,0.00430,0.000623
0.05-60-0.55,0.05,60,0.55,110,412,251,1,0.167,27.15,FALSE,0.05-60-0.55,0.1686,0.7615,0.930,0.00270,0.273,-0.191, 4.38e-01,0.00634,0.0151,0.1535,0.05730,0.000316
0.2-56-0.85,0.20,56,0.85, 49,222,132,1,0.269,10.00,FALSE,0.2-56-0.85,0.2022,0.6672,0.869,0.00600,0.235,-0.192, 2.95e-01,0.00930,0.0248,0.1256,0.24511,0.000137
0.05-36-0.6,0.05,36,0.60, 65,194,112,1,0.184,25.22,FALSE,0.05-36-0.6,0.1944,0.6940,0.892,0.00554,0.237,-0.193, 3.35e-01,0.00785,0.0208,0.0676,0.01914,0.000537
0.16-44-0.7,0.16,44,0.70, 83,323,194,1,0.179,14.56,FALSE,0.16-44-0.7,0.1820,0.7307,0.912,0.00304,0.250,-0.192, 3.90e-01,0.00702,0.0171,0.1008,0.09881,0.000221
0.05-36-0.2,0.05,36,0.20, 66,195,113,1,0.182,26.18,FALSE,0.05-36-0.2,0.1881,0.7032,0.891,0.00456,0.245,-0.193, 3.48e-01,0.00756,0.0204,0.0676,0.01914,0.000537
0.12-40-0.7,0.12,40,0.70, 72,259,156,1,0.182,17.11,FALSE,0.12-40-0.7,0.1789,0.7163,0.890,0.00405,0.258,-0.192, 3.68e-01,0.00770,0.0197,0.0872,0.05567,0.000284
0.07-44-0.8,0.07,44,0.80, 60,226,133,1,0.218, 8.70,FALSE,0.07-44-0.8,0.1968,0.7068,0.900,0.00449,0.229,-0.193, 3.54e-01,0.00828,0.0182,0.1000,0.02765,0.000316
0.05-52-0.2,0.05,52,0.20, 96,337,208,1,0.175,24.45,FALSE,0.05-52-0.2,0.1767,0.7485,0.925,0.00292,0.259,-0.192, 4.17e-01,0.00680,0.0156,0.1257,0.03330,0.000341
0.08-52-0.8,0.08,52,0.80, 69,293,171,1,0.213,13.23,FALSE,0.08-52-0.8,0.1823,0.7111,0.892,0.00417,0.254,-0.192, 3.60e-01,0.00810,0.0201,0.1257,0.08857,0.000284
0.18-48-0.65,0.18,48,0.65, 92,352,215,1,0.170,17.56,FALSE,0.18-48-0.65,0.1787,0.7306,0.907,0.00362,0.256,-0.192, 3.90e-01,0.00697,0.0174,0.1118,0.12388,0.000179
0.06-28-0.8,0.06,28,0.80, 31,114, 70,1,0.309, 9.64,FALSE,0.06-28-0.8,0.1966,0.5435,0.735,0.01275,0.378,-0.193, 1.29e-01,0.01201,0.0341,0.0307,0.00973,0.000623
0.14-52-0.85,0.14,52,0.85, 45,196,109,1,0.271, 9.96,FALSE,0.14-52-0.85,0.1854,0.6657,0.851,0.00543,0.270,-0.193, 2.93e-01,0.00935,0.0281,0.1256,0.12826,0.000182
0.1-48-0.8,0.10,48,0.80, 63,259,154,1,0.210,11.31,FALSE,0.1-48-0.8,0.2006,0.6966,0.894,0.00450,0.225,-0.193, 3.38e-01,0.00833,0.0194,0.1118,0.08504,0.000284
0.16-44-0.75,0.16,44,0.75, 78,308,183,1,0.188,12.58,FALSE,0.16-44-0.75,0.1853,0.7286,0.916,0.00300,0.245,-0.193, 3.87e-01,0.00686,0.0168,0.1008,0.09881,0.000221
0.05-36-0.85,0.05,36,0.85, 32,113, 60,1,0.283,11.30,FALSE,0.05-36-0.85,0.1939,0.5945,0.806,0.00887,0.317,-0.193, 1.95e-01,0.00849,0.0314,0.0676,0.01503,0.000537
0.2-44-0.85,0.20,44,0.85, 37,155, 89,1,0.282, 9.79,FALSE,0.2-44-0.85,0.2132,0.6458,0.861,0.00479,0.226,-0.192, 2.65e-01,0.00797,0.0265,0.1000,0.09140,0.000182
0.05-56-0.2,0.05,56,0.20,103,359,221,1,0.168,24.55,FALSE,0.05-56-0.2,0.1668,0.7562,0.923,0.00285,0.276,-0.191, 4.29e-01,0.00647,0.0158,0.1292,0.04174,0.000316
0.05-52-0.8,0.05,52,0.80, 68,272,164,1,0.212,11.44,FALSE,0.05-52-0.8,0.1773,0.7097,0.887,0.00560,0.264,-0.192, 3.58e-01,0.00817,0.0207,0.1257,0.02765,0.000362
0.05-52-0,0.05,52,0.00, 97,338,208,1,0.172,25.42,FALSE,0.05-52-0,0.1737,0.7462,0.923,0.00301,0.264,-0.192, 4.14e-01,0.00671,0.0162,0.1257,0.03330,0.000341
0.07-52-0.6,0.07,52,0.60, 98,374,224,1,0.176,21.51,FALSE,0.07-52-0.6,0.1777,0.7431,0.926,0.00278,0.257,-0.192, 4.09e-01,0.00617,0.0159,0.1257,0.05730,0.000284
0.05-60-0.6,0.05,60,0.60,109,411,250,1,0.168,26.17,FALSE,0.05-60-0.6,0.1787,0.7510,0.930,0.00293,0.256,-0.192, 4.21e-01,0.00635,0.0147,0.1535,0.05730,0.000316
0.2-16-0.8,0.20,16,0.80, 17, 55, 39,1,0.368, 5.61,FALSE,0.2-16-0.8,0.1670,0.3758,0.575,0.01764,0.794,-0.191,-4.94e-02,0.02162,0.0743,0.0161,0.00973,0.000637
0.12-60-0.85,0.12,60,0.85, 57,253,148,1,0.255,12.05,FALSE,0.12-60-0.85,0.1699,0.7153,0.889,0.00496,0.276,-0.191, 3.66e-01,0.00820,0.0210,0.1481,0.24511,0.000147
0.1-24-0.85,0.10,24,0.85, 21, 76, 45,1,0.366, 5.00,FALSE,0.1-24-0.85,0.1738,0.4357,0.609,0.01716,0.637,-0.192, 7.19e-03,0.01900,0.0447,0.0251,0.00430,0.000623
0.07-48-0.8,0.07,48,0.80, 65,238,141,1,0.207,11.59,FALSE,0.07-48-0.8,0.1832,0.7274,0.902,0.00544,0.249,-0.192, 3.85e-01,0.00863,0.0170,0.1118,0.03993,0.000285
0.14-36-0.7,0.14,36,0.70, 65,211,122,1,0.186,17.78,FALSE,0.14-36-0.7,0.1961,0.6779,0.879,0.00552,0.241,-0.193, 3.11e-01,0.00856,0.0228,0.0676,0.03993,0.000316
0.08-24-0.85,0.08,24,0.85, 25, 89, 55,1,0.345, 6.87,FALSE,0.08-24-0.85,0.1611,0.5203,0.691,0.01705,0.517,-0.190, 1.01e-01,0.01406,0.0341,0.0269,0.00837,0.000623
0.14-20-0.8,0.14,20,0.80, 22, 74, 50,1,0.344, 7.20,FALSE,0.14-20-0.8,0.2263,0.2936,0.521,0.01522,0.808,-0.190,-1.11e-01,0.02052,0.0724,0.0219,0.00973,0.000623
0.16-20-0.7,0.16,20,0.70, 31, 91, 60,1,0.249,10.16,FALSE,0.16-20-0.7,0.1957,0.4595,0.630,0.01500,0.522,-0.193, 3.20e-02,0.01596,0.0357,0.0219,0.01271,0.000623
0.2-32-0.8,0.20,32,0.80, 39,143, 85,1,0.267,10.78,FALSE,0.2-32-0.8,0.2072,0.6247,0.822,0.00950,0.255,-0.192, 2.35e-01,0.00917,0.0281,0.0539,0.02765,0.000284
0.12-48-0.65,0.12,48,0.65, 92,350,215,1,0.169,17.31,FALSE,0.12-48-0.65,0.1712,0.7449,0.915,0.00330,0.268,-0.191, 4.12e-01,0.00725,0.0163,0.1118,0.09881,0.000209
0.12-20-0.75,0.12,20,0.75, 30, 88, 59,1,0.254,10.40,FALSE,0.12-20-0.75,0.1763,0.5132,0.649,0.01465,0.483,-0.192, 9.25e-02,0.01436,0.0319,0.0219,0.01271,0.000623
0.18-16-0.75,0.18,16,0.75, 23, 65, 48,1,0.294, 8.55,FALSE,0.18-16-0.75,0.1544,0.3964,0.527,0.01463,0.789,-0.189,-3.09e-02,0.02087,0.0545,0.0199,0.00973,0.000663
0.18-20-0.8,0.18,20,0.80, 24, 78, 52,1,0.317, 8.09,FALSE,0.18-20-0.8,0.2185,0.3486,0.563,0.01307,0.692,-0.191,-7.20e-02,0.01787,0.0443,0.0219,0.01255,0.000623
0.05-24-0.85,0.05,24,0.85, 20, 69, 44,1,0.405, 6.62,FALSE,0.05-24-0.85,0.1480,0.4619,0.603,0.01747,0.668,-0.187, 3.46e-02,0.01869,0.0374,0.0269,0.00837,0.000847
0.05-48-0.85,0.05,48,0.85, 44,156, 84,1,0.249,14.39,FALSE,0.05-48-0.85,0.2207,0.6411,0.872,0.00602,0.215,-0.191, 2.58e-01,0.00791,0.0250,0.1118,0.02765,0.000368
0.09-48-0.8,0.09,48,0.80, 62,254,148,1,0.214,11.32,FALSE,0.09-48-0.8,0.2013,0.6940,0.897,0.00462,0.224,-0.193, 3.35e-01,0.00831,0.0191,0.1118,0.08504,0.000284
0.07-20-0.8,0.07,20,0.80, 19, 61, 47,1,0.359, 5.77,FALSE,0.07-20-0.8,0.1432,0.3255,0.496,0.02066,1.006,-0.186,-8.95e-02,0.02295,0.0730,0.0219,0.00973,0.000663
0.06-20-0.8,0.06,20,0.80, 19, 62, 48,1,0.372, 5.76,FALSE,0.06-20-0.8,0.1474,0.3494,0.474,0.02171,0.928,-0.187,-7.14e-02,0.02309,0.0681,0.0219,0.00973,0.000847
0.08-12-0.65,0.08,12,0.65, 23, 59, 44,1,0.288,12.06,FALSE,0.08-12-0.65,0.1224,0.4063,0.514,0.02414,0.881,-0.178,-2.17e-02,0.02482,0.0568,0.0135,0.00430,0.000747
0.18-28-0.8,0.18,28,0.80, 39,137, 79,1,0.267,11.71,FALSE,0.18-28-0.8,0.2286,0.5800,0.834,0.00896,0.252,-0.190, 1.75e-01,0.00901,0.0289,0.0384,0.02645,0.000362
0.2-20-0.8,0.20,20,0.80, 22, 73, 49,1,0.331, 7.18,FALSE,0.2-20-0.8,0.2206,0.3346,0.570,0.01139,0.720,-0.191,-8.28e-02,0.01656,0.0426,0.0219,0.01255,0.000623
0.1-40-0.8,0.10,40,0.80, 52,187,110,1,0.226,10.31,FALSE,0.1-40-0.8,0.1904,0.6925,0.879,0.00607,0.245,-0.193, 3.32e-01,0.00921,0.0208,0.0869,0.03373,0.000316
0.18-16-0.8,0.18,16,0.80, 18, 55, 42,1,0.366, 6.52,FALSE,0.18-16-0.8,0.1669,0.2471,0.425,0.02442,1.144,-0.191,-1.36e-01,0.03219,0.0834,0.0161,0.00973,0.000663
0.16-16-0.75,0.16,16,0.75, 25, 68, 51,1,0.268, 9.28,FALSE,0.16-16-0.75,0.1523,0.3577,0.501,0.01697,0.889,-0.188,-6.47e-02,0.02163,0.0584,0.0199,0.00973,0.000663
0.2-20-0.7,0.20,20,0.70, 29, 86, 58,1,0.256,10.89,FALSE,0.2-20-0.7,0.1938,0.4185,0.630,0.01461,0.610,-0.193,-9.95e-03,0.01444,0.0352,0.0219,0.01271,0.000623
0.2-16-0.7,0.20,16,0.70, 25, 71, 51,1,0.257, 9.49,FALSE,0.2-16-0.7,0.1840,0.4286,0.625,0.01349,0.620,-0.192, 2.86e-05,0.01701,0.0351,0.0199,0.00973,0.000637
0.18-20-0.4,0.18,20,0.40, 33, 92, 61,1,0.230,13.71,FALSE,0.18-20-0.4,0.1849,0.4824,0.648,0.01413,0.511,-0.193, 5.71e-02,0.01403,0.0317,0.0219,0.01271,0.000623
0.16-12-0.8,0.16,12,0.80, 15, 46, 33,1,0.388, 4.70,FALSE,0.16-12-0.8,0.0809,0.1820,0.245,0.01643,1.712,-0.151,-1.56e-01,0.04934,0.0893,0.0135,0.00736,0.000747
0.08-24-0.65,0.08,24,0.65, 40,124, 78,1,0.248,15.56,FALSE,0.08-24-0.65,0.1757,0.6470,0.809,0.01016,0.308,-0.192, 2.66e-01,0.01075,0.0277,0.0269,0.01271,0.000558
0.18-12-0.8,0.18,12,0.80, 16, 47, 34,1,0.401, 6.38,FALSE,0.18-12-0.8,0.0925,0.1748,0.275,0.02037,1.686,-0.160,-1.57e-01,0.04727,0.0847,0.0135,0.00736,0.000747
0.16-32-0.8,0.16,32,0.80, 43,148, 85,1,0.267,11.04,FALSE,0.16-32-0.8,0.2200,0.6144,0.830,0.00948,0.237,-0.191, 2.21e-01,0.00973,0.0269,0.0539,0.02860,0.000362
0.05-40-0.8,0.05,40,0.80, 54,189,109,1,0.214,13.06,FALSE,0.05-40-0.8,0.2017,0.6666,0.876,0.00612,0.236,-0.192, 2.94e-01,0.00837,0.0238,0.0869,0.02324,0.000529
0.16-16-0.8,0.16,16,0.80, 17, 54, 41,1,0.356, 4.81,FALSE,0.16-16-0.8,0.1775,0.2667,0.416,0.02522,1.047,-0.192,-1.27e-01,0.03271,0.0697,0.0161,0.00973,0.000663
0.12-16-0.8,0.12,16,0.80, 17, 52, 37,1,0.375, 4.89,FALSE,0.12-16-0.8,0.0933,0.2233,0.311,0.02490,1.514,-0.161,-1.46e-01,0.03309,0.0807,0.0199,0.00736,0.000663
0.16-36-0.7,0.16,36,0.70, 66,225,131,1,0.183,16.31,FALSE,0.16-36-0.7,0.2266,0.6351,0.855,0.00432,0.207,-0.190, 2.50e-01,0.00773,0.0246,0.0676,0.05567,0.000316
0.09-16-0.8,0.09,16,0.80, 15, 48, 35,1,0.401, 5.51,FALSE,0.09-16-0.8,0.0644,0.0875,0.160,0.01570,2.168,-0.135,-1.39e-01,0.04612,0.0860,0.0161,0.00430,0.000847
0.08-20-0.8,0.08,20,0.80, 20, 63, 49,1,0.346, 5.84,FALSE,0.08-20-0.8,0.1525,0.3165,0.470,0.02278,0.996,-0.188,-9.59e-02,0.02464,0.0560,0.0219,0.00973,0.000639
0.08-24-0.8,0.08,24,0.80, 29,103, 66,1,0.317, 8.70,FALSE,0.08-24-0.8,0.1802,0.4873,0.664,0.01254,0.516,-0.192, 6.26e-02,0.01336,0.0313,0.0269,0.00973,0.000623
0.09-20-0.75,0.09,20,0.75, 28, 79, 61,1,0.274,10.55,FALSE,0.09-20-0.75,0.1350,0.3775,0.529,0.01590,0.903,-0.183,-4.79e-02,0.01799,0.0470,0.0219,0.00973,0.000639
0.06-24-0.8,0.06,24,0.80, 23, 82, 57,1,0.372, 7.65,FALSE,0.06-24-0.8,0.1547,0.4145,0.572,0.01279,0.746,-0.189,-1.38e-02,0.01611,0.0362,0.0269,0.00973,0.000639
0.16-20-0.4,0.16,20,0.40, 34, 94, 62,1,0.225,12.82,FALSE,0.16-20-0.4,0.1899,0.4726,0.664,0.01520,0.514,-0.193, 4.62e-02,0.01466,0.0314,0.0219,0.01271,0.000623
0.1-24-0.8,0.10,24,0.80, 28,100, 65,1,0.329, 7.81,FALSE,0.1-24-0.8,0.1930,0.4003,0.590,0.01314,0.652,-0.193,-2.73e-02,0.01562,0.0349,0.0269,0.00973,0.000623
0.08-16-0.8,0.08,16,0.80, 17, 53, 40,1,0.369, 4.88,FALSE,0.08-16-0.8,0.0710,0.1116,0.157,0.01554,2.032,-0.142,-1.50e-01,0.04543,0.0785,0.0161,0.00736,0.000847
0.2-12-0.75,0.20,12,0.75, 19, 51, 39,1,0.316, 8.30,FALSE,0.2-12-0.75,0.0830,0.2747,0.350,0.02301,1.396,-0.153,-1.22e-01,0.03219,0.0694,0.0135,0.00736,0.000663
0.05-12-0,0.05,12,0.00, 22, 55, 41,1,0.278,12.02,FALSE,0.05-12-0,0.1408,0.4929,0.601,0.02058,0.631,-0.185, 6.89e-02,0.02142,0.0316,0.0135,0.00430,0.001441
0.09-24-0.8,0.09,24,0.80, 26, 96, 60,1,0.343, 7.66,FALSE,0.09-24-0.8,0.1958,0.4509,0.642,0.01405,0.538,-0.193, 2.29e-02,0.01465,0.0315,0.0269,0.00973,0.000623
0.07-28-0.8,0.07,28,0.80, 32,116, 71,1,0.305,10.38,FALSE,0.07-28-0.8,0.1948,0.5458,0.735,0.01362,0.379,-0.193, 1.32e-01,0.01234,0.0295,0.0307,0.00973,0.000623
0.06-16-0.8,0.06,16,0.80, 16, 51, 38,1,0.387, 4.80,FALSE,0.06-16-0.8,0.0643,0.0775,0.136,0.01351,2.214,-0.135,-1.33e-01,0.04521,0.0827,0.0161,0.00736,0.000847
0.18-40-0.7,0.18,40,0.70, 72,266,154,1,0.179,15.40,FALSE,0.18-40-0.7,0.1943,0.6988,0.892,0.00344,0.235,-0.193, 3.42e-01,0.00739,0.0192,0.0872,0.08431,0.000229
0.06-56-0.7,0.06,56,0.70, 97,387,234,1,0.175,19.39,FALSE,0.06-56-0.7,0.1723,0.7351,0.910,0.00373,0.267,-0.192, 3.97e-01,0.00675,0.0169,0.1292,0.08431,0.000284
0.05-52-0.6,0.05,52,0.60, 94,335,206,1,0.176,22.48,FALSE,0.05-52-0.6,0.1667,0.7531,0.913,0.00286,0.276,-0.191, 4.25e-01,0.00708,0.0154,0.1257,0.03330,0.000341
0.09-20-0.5,0.09,20,0.50, 31, 84, 66,1,0.250,13.33,FALSE,0.09-20-0.5,0.1456,0.3465,0.519,0.01789,0.942,-0.186,-7.37e-02,0.01870,0.0450,0.0219,0.00973,0.000639
0.05-16-0.8,0.05,16,0.80, 17, 51, 40,1,0.350, 5.71,FALSE,0.05-16-0.8,0.0736,0.0913,0.148,0.01337,2.106,-0.144,-1.41e-01,0.04344,0.0741,0.0161,0.00736,0.001498
0.09-20-0.8,0.09,20,0.80, 17, 57, 44,1,0.391, 5.59,FALSE,0.09-20-0.8,0.1568,0.1848,0.391,0.02881,1.385,-0.189,-1.55e-01,0.03124,0.0631,0.0219,0.00973,0.000639
0.16-56-0.85,0.16,56,0.85, 49,221,130,1,0.273,10.90,FALSE,0.16-56-0.85,0.1995,0.6759,0.870,0.00642,0.235,-0.193, 3.08e-01,0.00915,0.0215,0.1256,0.24511,0.000157
0.1-20-0.8,0.10,20,0.80, 22, 69, 51,1,0.328, 6.76,FALSE,0.1-20-0.8,0.1442,0.3053,0.442,0.02419,1.058,-0.186,-1.04e-01,0.02422,0.0527,0.0219,0.00973,0.000637
0.09-24-0.75,0.09,24,0.75, 36,116, 72,1,0.273,12.61,FALSE,0.09-24-0.75,0.1829,0.6142,0.783,0.01079,0.323,-0.192, 2.21e-01,0.01120,0.0279,0.0269,0.01271,0.000558
0.2-12-0.7,0.20,12,0.70, 21, 55, 43,1,0.280, 9.29,FALSE,0.2-12-0.7,0.0780,0.2448,0.327,0.02253,1.512,-0.149,-1.37e-01,0.03242,0.0568,0.0135,0.00736,0.000663
0.18-52-0.3,0.18,52,0.30,101,398,242,1,0.174,20.51,FALSE,0.18-52-0.3,0.1535,0.7390,0.888,0.00398,0.302,-0.188, 4.03e-01,0.00750,0.0191,0.1257,0.15658,0.000157
0.18-52-0.85,0.18,52,0.85, 48,219,129,1,0.273, 9.98,FALSE,0.18-52-0.85,0.1966,0.6595,0.866,0.00632,0.251,-0.193, 2.84e-01,0.00926,0.0248,0.1256,0.15658,0.000157
0.05-12-0.75,0.05,12,0.75, 20, 52, 39,1,0.317,10.12,FALSE,0.05-12-0.75,0.1317,0.4439,0.541,0.02218,0.762,-0.182, 1.56e-02,0.02371,0.0321,0.0135,0.00430,0.001441
0.2-16-0,0.20,16,0.00, 30, 77, 54,1,0.212,13.36,FALSE,0.2-16-0,0.1778,0.4775,0.637,0.01612,0.542,-0.192, 5.16e-02,0.01662,0.0305,0.0199,0.00973,0.000637
0.1-24-0.7,0.10,24,0.70, 37,117, 73,1,0.265,13.59,FALSE,0.1-24-0.7,0.1698,0.5452,0.716,0.01209,0.450,-0.191, 1.31e-01,0.01158,0.0285,0.0269,0.01271,0.000558
0.06-56-0.8,0.06,56,0.80, 69,303,179,1,0.212,10.53,FALSE,0.06-56-0.8,0.1652,0.7162,0.873,0.00525,0.285,-0.191, 3.68e-01,0.00784,0.0205,0.1292,0.05730,0.000284
0.08-24-0.7,0.08,24,0.70, 38,120, 74,1,0.256,14.51,FALSE,0.08-24-0.7,0.1795,0.6028,0.805,0.01157,0.344,-0.192, 2.06e-01,0.01027,0.0277,0.0269,0.01271,0.000558
0.05-32-0.8,0.05,32,0.80, 35,119, 76,1,0.287,13.92,FALSE,0.05-32-0.8,0.1806,0.6222,0.795,0.01414,0.320,-0.192, 2.32e-01,0.01136,0.0271,0.0539,0.01271,0.000637
0.06-40-0.8,0.06,40,0.80, 53,185,106,1,0.218,13.19,FALSE,0.06-40-0.8,0.1923,0.6901,0.887,0.00633,0.242,-0.193, 3.29e-01,0.00861,0.0203,0.0869,0.02645,0.000368
0.18-20-0,0.18,20,0.00, 34, 93, 62,1,0.223,14.64,FALSE,0.18-20-0,0.1865,0.4838,0.651,0.01385,0.504,-0.193, 5.86e-02,0.01440,0.0297,0.0219,0.01271,0.000623
0.05-52-0.75,0.05,52,0.75, 84,313,192,1,0.191,16.59,FALSE,0.05-52-0.75,0.1714,0.7364,0.909,0.00315,0.268,-0.191, 3.99e-01,0.00742,0.0165,0.1257,0.02875,0.000341
0.14-28-0.8,0.14,28,0.80, 41,135, 74,1,0.269,14.40,FALSE,0.14-28-0.8,0.2304,0.5680,0.826,0.00891,0.262,-0.189, 1.60e-01,0.00925,0.0267,0.0384,0.02506,0.000380
0.18-44-0.7,0.18,44,0.70, 81,316,190,1,0.184,15.50,FALSE,0.18-44-0.7,0.1820,0.7248,0.905,0.00376,0.251,-0.192, 3.81e-01,0.00720,0.0166,0.1008,0.09881,0.000197
0.1-16-0.8,0.10,16,0.80, 17, 52, 39,1,0.369, 4.89,FALSE,0.1-16-0.8,0.0697,0.0648,0.136,0.01139,2.247,-0.141,-1.22e-01,0.04487,0.0545,0.0161,0.00736,0.000663
0.18-44-0.8,0.18,44,0.80, 57,249,151,1,0.227, 9.40,FALSE,0.18-44-0.8,0.1890,0.6795,0.869,0.00490,0.254,-0.193, 3.13e-01,0.00820,0.0224,0.1000,0.09140,0.000197
0.14-44-0.7,0.14,44,0.70, 84,326,196,1,0.181,16.23,FALSE,0.14-44-0.7,0.1785,0.7224,0.902,0.00342,0.258,-0.192, 3.77e-01,0.00723,0.0171,0.1008,0.09140,0.000229
0.06-28-0.75,0.06,28,0.75, 46,148, 86,1,0.256,18.28,FALSE,0.06-28-0.75,0.2074,0.6569,0.861,0.00786,0.231,-0.192, 2.81e-01,0.00866,0.0228,0.0384,0.01271,0.000558
0.09-36-0.8,0.09,36,0.80, 47,169, 96,1,0.240, 9.31,FALSE,0.09-36-0.8,0.1970,0.6864,0.880,0.00708,0.235,-0.193, 3.23e-01,0.00913,0.0199,0.0676,0.02765,0.000362
0.14-48-0.7,0.14,48,0.70, 88,348,213,1,0.175,15.33,FALSE,0.14-48-0.7,0.1698,0.7284,0.899,0.00330,0.272,-0.191, 3.86e-01,0.00746,0.0174,0.1118,0.11194,0.000209
