,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI,idxAccuracy,idxFlexibility,idxBoth
0.06-40-0.65,0.06,40,0.65,71,233,137,1,0.188318777292576,20.3148893360161,FALSE,0.06-40-0.65,0.1895,0.7299,0.9194,0.238380309166205,-0.192672057466807,0.388635342487751,0.00763995201435621,0.0200671305007457,0.0872,0.0264514862575436,0.000368029714239091,85,273,358
0.08-28-0.8,0.08,28,0.8,40,134,74,1,0.27307206068268,14.5935897435897,FALSE,0.08-28-0.8,0.2343,0.6587,0.893,0.181242742547002,-0.188500387569703,0.283116358843964,0.00783269119111358,0.0249931823885437,0.0384,0.0150266655378143,0.000529118752793779,216,143,359
0.05-60-0.7,0.05,60,0.7,104,403,242,1,0.175115207373272,23.2352501867065,FALSE,0.05-60-0.7,0.1706,0.7567,0.9273,0.26957091045756,-0.191380185317316,0.430191104678364,0.00618063282243586,0.018625135091843,0.1535,0.0572970059694907,0.000316202811251682,43,316,359
0.08-40-0.7,0.08,40,0.7,70,232,132,1,0.193037974683544,19.9496894409938,FALSE,0.08-40-0.7,0.2065,0.7282,0.9347,0.214435313589091,-0.192215920391963,0.386032158546008,0.00683732666828999,0.0176907544501314,0.0872,0.0285977388220833,0.000316202811251682,13,346,359
0.2-32-0,0.2,32,0,62,192,114,1,0.189799870884442,18.2033315705976,FALSE,0.2-32-0,0.2058,0.6942,0.9,0.216745105066596,-0.192263153217238,0.334814523810897,0.00813116490465337,0.0233428804567715,0.0539,0.0276536229926187,0.000284499001936455,181,179,360
0.1-32-0.85,0.1,32,0.85,27,97,51,1,0.321428571428571,8.66809116809117,FALSE,0.1-32-0.85,0.2256,0.6468,0.8724,0.201943480130533,-0.190037452504126,0.266209755851066,0.0100251135428089,0.0405055562695918,0.0539,0.0150266655378143,0.000380318688013639,327,34,361
0.08-40-0.6,0.08,40,0.6,75,247,143,1,0.187314172447968,19.1996396396396,FALSE,0.08-40-0.6,0.1916,0.7409,0.9325,0.236429548248167,-0.192695616416494,0.405574768592826,0.00684794532574856,0.0177614024290994,0.0872,0.0285977388220833,0.000316202811251682,18,344,362
0.1-28-0.75,0.1,28,0.75,50,157,85,1,0.244422890397672,15.989387755102,FALSE,0.1-28-0.75,0.2433,0.6494,0.8927,0.170484716195977,-0.186570435876309,0.269885081833334,0.00760000982346788,0.0249625857224476,0.0384,0.0195625049071276,0.000411611379878998,219,144,363
0.1-48-0.65,0.1,48,0.65,93,341,204,1,0.170808430324001,21.1085787751286,FALSE,0.1-48-0.65,0.1934,0.7259,0.9193,0.232388754723085,-0.192697480502728,0.382516522490626,0.0069711487014753,0.02006107272871,0.1118,0.0850422872908485,0.000229383000044728,89,274,363
0.05-48-0.75,0.05,48,0.75,77,267,161,1,0.182857142857143,17.4212235133288,FALSE,0.05-48-0.75,0.1934,0.7081,0.9015,0.234451426328091,-0.192697480502728,0.355556771699265,0.00782221196950954,0.0225798250103074,0.1118,0.0285977388220833,0.000368029714239091,172,192,364
0.12-44-0.65,0.12,44,0.65,88,326,193,1,0.170056685561854,17.2667189132706,FALSE,0.12-44-0.65,0.1951,0.7156,0.9107,0.230327495086553,-0.192683855540107,0.36686231048316,0.00697519597350468,0.0212195702661614,0.1008,0.0843108865801963,0.000229383000044728,136,229,365
0.09-44-0.45,0.09,44,0.45,89,334,198,1,0.176182707993475,18.3868743615935,FALSE,0.09-44-0.45,0.2001,0.7285,0.9286,0.222854493253551,-0.192558405580726,0.386491255828878,0.00677677921236181,0.0180057492333013,0.1008,0.0572970059694907,0.000284499001936455,33,332,365
0.06-60-0.85,0.06,60,0.85,52,227,133,1,0.268147345612134,10.1749622926094,FALSE,0.06-60-0.85,0.1927,0.7235,0.9162,0.233520821764037,-0.192698754895304,0.378855802729324,0.00737604454903374,0.0203135131572238,0.1481,0.091401801433132,0.000285466116040691,106,263,369
0.2-32-0.7,0.2,32,0.7,54,177,104,1,0.2081811541271,16.0897973445143,FALSE,0.2-32-0.7,0.2106,0.6883,0.8989,0.210318096294487,-0.191891878523628,0.3260940813281,0.00759839426701717,0.0231180651417411,0.0539,0.0276536229926187,0.000284499001936455,188,182,370
0.09-40-0.65,0.09,40,0.65,73,241,144,1,0.189969604863222,20.0454718417047,FALSE,0.09-40-0.65,0.199,0.7205,0.9195,0.223958726774227,-0.192596834577186,0.374291101726566,0.00777190235119898,0.0196765674810802,0.0872,0.033728913054116,0.000316202811251682,84,286,370
0.18-40-0,0.18,40,0,80,282,165,1,0.166797180892717,18.4096518987342,FALSE,0.18-40-0,0.1999,0.7087,0.9086,0.223486414191035,-0.192565843422891,0.356458302573719,0.00720175054640943,0.0214651520276063,0.0872,0.0843108865801963,0.000229383000044728,146,225,371
0.14-32-0.7,0.14,32,0.7,61,190,109,1,0.197395476353667,17.7387978142077,FALSE,0.14-32-0.7,0.2236,0.6693,0.8929,0.194821134266494,-0.190343831752745,0.298357188432756,0.00824820570207803,0.0244461470506678,0.0539,0.0285977388220833,0.000345691799774348,218,157,375
0.08-44-0.75,0.08,44,0.75,76,260,149,1,0.1978928080623,19.1149122807018,FALSE,0.08-44-0.75,0.1953,0.7329,0.9282,0.230042360787537,-0.19268127623687,0.393238849646093,0.00689587298563559,0.017776002446595,0.1008,0.0399285227251932,0.000285466116040691,35,341,376
0.2-28-0.4,0.2,28,0.4,57,177,103,1,0.198365527488856,15.2941729323308,FALSE,0.2-28-0.4,0.2267,0.6822,0.9089,0.186368678899515,-0.189861376168434,0.317131210937993,0.00796664992944776,0.0209924175124063,0.0384,0.0264514862575436,0.000341434044150293,142,236,378
0.2-40-0.75,0.2,40,0.75,68,256,149,1,0.187845303867403,13.4405179982441,FALSE,0.2-40-0.75,0.2041,0.7067,0.9108,0.217073463987439,-0.192367932829646,0.353455177526295,0.0067142546199903,0.020759862136126,0.0872,0.0843108865801963,0.000208702136538085,135,244,379
0.16-40-0.65,0.16,40,0.65,78,280,164,1,0.170441001191895,17.4149184149184,FALSE,0.16-40-0.65,0.2046,0.7124,0.917,0.215805816137627,-0.192338579906394,0.362028951421376,0.0068400035165081,0.0199585112803129,0.0872,0.0843108865801963,0.00024362600954037,100,279,379
