FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,tfCount.Netact,tfCount.MARINa,tfCount.RI
0.08,60,0.5,116,459,281,53,48,40
0.09,56,0.2,104,423,262,46,44,37
0.16,60,0.65,111,445,270,53,47,43
0.08,56,0.75,93,393,239,44,38,30
0.18,52,0.7,93,381,230,45,39,35
0.06,24,0.25,43,123,86,19,15,11
0.18,60,0,115,452,276,53,48,46
0.07,56,0.8,72,305,180,36,29,21
0.18,52,0.8,69,312,190,35,28,28
0.18,60,0.65,112,448,274,53,47,44
0.14,60,0.65,108,436,266,49,48,41
0.18,52,0.75,86,365,221,43,36,32
0.09,56,0.75,90,386,236,44,37,30
0.2,56,0.8,74,330,202,39,29,31
0.16,60,0.8,82,357,212,43,35,32
0.14,60,0.25,109,437,267,49,48,42
0.16,56,0,104,408,249,47,44,41
0.09,60,0.65,109,438,273,53,46,37
0.06,60,0.75,93,393,245,46,37,28
0.16,52,0.8,68,300,181,35,31,25
0.09,60,0.6,110,446,278,53,47,38
0.1,60,0.75,95,395,242,47,42,33
0.1,56,0.8,73,326,199,39,31,22
0.08,60,0.3,119,463,284,53,48,43
0.2,56,0.75,94,388,236,46,38,39
0.09,56,0.6,101,419,259,46,43,35
0.2,60,0.1,116,458,278,53,47,47
0.1,60,0.7,102,418,259,52,44,33
0.08,60,0.8,79,344,210,41,34,24
0.08,60,0.75,98,406,247,47,40,34
0.2,52,0.7,91,375,227,43,39,37
0.1,56,0.6,102,416,258,47,44,35
0.18,56,0.75,88,372,226,44,37,36
0.09,60,0.45,112,450,280,53,48,39
0.1,52,0.8,68,301,184,36,28,20
0.12,56,0.7,97,407,251,46,42,35
0.2,60,0.65,112,450,275,53,46,44
0.09,60,0.75,95,399,245,47,41,33
0.12,56,0.75,94,397,243,45,40,35
0.18,60,0.8,81,362,220,43,32,33
0.1,56,0.65,101,409,253,47,43,34
0.1,56,0.7,94,395,243,46,40,30
0.14,56,0.65,102,410,252,47,43,38
0.09,60,0.7,105,428,266,52,45,34
0.12,60,0.25,108,430,267,49,46,43
0.1,56,0.75,91,385,235,45,38,30
0.2,56,0,108,417,255,50,43,45
0.1,60,0.8,76,335,206,41,34,25
0.09,60,0.85,49,219,130,30,21,16
0.2,52,0.8,68,311,191,35,28,28
0.16,56,0.75,93,384,232,44,41,35
0.14,56,0,104,412,254,47,43,40
0.18,56,0.8,71,320,194,37,29,31
0.09,56,0.8,71,321,195,38,29,22
0.14,56,0.8,73,322,194,39,30,27
0.14,56,0.75,93,385,233,45,39,34
0.12,60,0.7,101,416,257,48,44,38
0.2,56,0.3,107,416,254,50,43,44
0.2,60,0.8,81,366,224,43,32,32
0.2,60,0.7,104,429,261,50,43,41
